Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
81,Entrada en largo,2026-05-29 10:50,Scripted Long,1.1662,1,145775,281.25,0.19,306.25,0.21,0,0.00,3768.75,37.69,5
82,Salida en largo,2026-06-01 19:50,Scripted Exit All,1.16425,1,145500,31.25,0.02,37.5,0.03,-6.25,0.00,3800,38.00,19
82,Entrada en largo,2026-06-01 18:15,Scripted Long,1.164,1,145500,31.25,0.02,37.5,0.03,-6.25,0.00,3800,38.00,19
83,Salida en largo,2026-06-02 01:05,Scripted Exit All,1.1646,1,145531.25,43.75,0.03,50,0.03,-87.5,-0.06,3843.75,38.44,46
83,Entrada en largo,2026-06-01 21:15,Scripted Long,1.16425,1,145531.25,43.75,0.03,50,0.03,-87.5,-0.06,3843.75,38.44,46
84,Salida en largo,2026-06-02 02:25,Scripted Exit All,1.1654,1,145568.75,106.25,0.07,112.5,0.08,-6.25,0.00,3950,39.50,4
84,Entrada en largo,2026-06-02 02:05,Scripted Long,1.16455,1,145568.75,106.25,0.07,112.5,0.08,-6.25,0.00,3950,39.50,4
85,Salida en corto,2026-06-05 08:45,Scripted Exit All,1.1611,1,145200,62.5,0.04,81.25,0.06,-406.25,-0.28,4012.5,40.13,150
85,Entrada en corto,2026-06-04 20:15,Scripted Short,1.1616,1,145200,62.5,0.04,81.25,0.06,-406.25,-0.28,4012.5,40.13,150
86,Salida en corto,2026-06-08 02:35,Scripted Exit All,1.15235,1,144050,6.25,0.00,143.75,0.10,-243.75,-0.17,4018.75,40.19,113
86,Entrada en corto,2026-06-05 16:10,Scripted Short,1.1524,1,144050,6.25,0.00,143.75,0.10,-243.75,-0.17,4018.75,40.19,113
